"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL397972";"";"0";"206.04";"0";"0.97";"19";"Br[C@H]1CCN2C[C@@H]1OC2=O";"IC50";"'='";"5816";"nM";"5.24";"";"";"UO_0000065";"25.41";"0.72";"4.27";"17.72";"False";"CHEMBL907573";"Inhibition of human recombinant cathepsin L";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144593";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";""
"CHEMBL1488151";"";"0";"237.65";"0";"1.71";"SID49823485";"Clc1ccccc1NC(=O)Nn2cnnc2";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1605339";"";"0";"251.68";"0";"2.02";"SID49823520";"Cc1c(Cl)cccc1NC(=O)Nn2cnnc2";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1370506";"";"0";"350.45";"0";"2.12";"SID3711267";"O=C(CSC1=NN(C(=S)S1)c2ccccc2)Nn3cnnc3";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1334123";"";"0";"270.31";"0";"3.28";"SID24779080";"Oc1ccc(cc1O)c2csc(n2)c3cccnc3";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1587839";"";"0";"272.1";"0";"2.36";"SID49826945";"Clc1ccc(Cl)c(NC(=O)Nn2cnnc2)c1";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1407847";"";"0";"345.3";"0";"3.26";"SID4242252";"Cc1csc(NC(=O)NC2(Oc3ccccc3O2)C(F)(F)F)n1";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1446802";"";"0";"330.3";"0";"-0.15";"SID865622";"Cc1c(cnn1C)C(=O)c2no[n+]([O-])c2C(=O)c3cnn(C)c3C";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL3195950";"";"0";"204.19";"0";"0.57";"SID49679463";"Oc1ccc(\C=N\n2cncn2)cc1O";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
"CHEMBL1472465";"";"0";"278.23";"0";"0.97";"SID49823793";"COc1cc(ccc1NC(=O)Nn2cnnc2)[N+](=O)[O-]";"IC50";"'>'";"59642";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"False";"CHEMBL1614088";"PUBCHEM_BIOASSAY: QFRET-based counterscreen for inhibitors of PFM18AAP: biochemical high throughput dose response assay for inhibitors of the Cathepsin L proteinase (CTSL1). (Class of assay: confirmatory) [Related pubchem assays: 2178 (Confirmation screen (PFM18AAP inhibitors).), 1855 (Summary AID.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3837";"Cathepsin L";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";""
