"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL119370";"";"0";"346.15";"0";"2.81";"2f";"NC(=S)\N=N\c1c(O)[nH]c2ccc(I)cc12";"IC50";"'='";"9000";"nM";"5.05";"";"";"UO_0000065";"14.58";"0.43";"2.24";"5.82";"False";"CHEMBL812106";"Inhibitory activity against the Trypanosoma cruzi cysteine protease cruzain";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1145878";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";""
"CHEMBL119345";"";"0";"234.28";"0";"3.13";"2b";"Cc1ccc2[nH]c(O)c(\N=N\C(=N)S)c2c1";"IC50";"'='";"15000";"nM";"4.82";"";"";"UO_0000065";"20.59";"0.41";"1.69";"5.7";"False";"CHEMBL805131";"Inhibitory activity against Trypanosoma brucei rhodesiense cysteine protease rhodesain";"B";"BAO_0000357";"single protein format";"Trypanosoma brucei rhodesiense";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1145878";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";""
"CHEMBL90772";"";"0";"315.24";"0";"3.51";"3e";"FC(F)(F)c1cc(\C=N\NC(=N)S)cc(c1)C(F)(F)F";"IC50";"'='";"320";"nM";"6.5";"";"";"UO_0000065";"20.6";"0.44";"2.98";"13.46";"False";"CHEMBL660279";"Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135476";"1";"Scientific Literature";"J. Med. Chem.";"2002";""
"CHEMBL162695";"";"0";"518.68";"1";"4.96";"10o";"CC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3";"Ki";"'='";"4.6";"nM";"8.34";"";"";"UO_0000065";"16.07";"0.31";"3.38";"9.87";"True";"CHEMBL664070";"Inhibitory activity against cruzain, the major cysteine protease found in Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135707";"1";"Scientific Literature";"J. Med. Chem.";"2002";""
"CHEMBL258808";"";"0";"484.66";"0";"4.77";"11b";"CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)C";"Ki";"'='";"7.8";"nM";"8.11";"";"";"UO_0000065";"16.73";"0.33";"3.34";"9.6";"True";"CHEMBL664070";"Inhibitory activity against cruzain, the major cysteine protease found in Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135707";"1";"Scientific Literature";"J. Med. Chem.";"2002";""
"CHEMBL118830";"";"0";"251.24";"0";"2.06";"3c";"O=C(N1C(=O)C(=O)c2ccccc12)c3ccccc3";"IC50";"'='";"100000";"nM";"4";"";"";"UO_0000065";"15.92";"0.29";"1.94";"7.35";"False";"CHEMBL805131";"Inhibitory activity against Trypanosoma brucei rhodesiense cysteine protease rhodesain";"B";"BAO_0000357";"single protein format";"Trypanosoma brucei rhodesiense";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1145878";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";""
"CHEMBL117767";"";"0";"327.38";"0";"4.39";"3h";"Cc1ccc2N(Cc3ccccc3c4ccccc4)C(=O)C(=O)c2c1";"IC50";"'='";"2800";"nM";"5.55";"";"";"UO_0000065";"16.96";"0.3";"1.16";"14.86";"False";"CHEMBL812106";"Inhibitory activity against the Trypanosoma cruzi cysteine protease cruzain";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1145878";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";""
"CHEMBL119345";"";"0";"234.28";"0";"3.13";"2b";"Cc1ccc2[nH]c(O)c(\N=N\C(=N)S)c2c1";"IC50";"'='";"50000";"nM";"4.3";"";"";"UO_0000065";"18.36";"0.37";"1.17";"5.08";"False";"CHEMBL812107";"Inhibitory activity against Cruzain;range is 20-50";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1145878";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";""
"CHEMBL38462";"";"0";"340.77";"0";"4.07";"124";"Oc1ccccc1C(=O)N\N=C\c2oc(cc2)c3ccc(Cl)cc3";"IC50";"'='";"10000000000000";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL664073";"Inhibition of cruzain, the major cysteine protease from Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135945";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL289164";"";"0";"351.32";"0";"3.32";"125";"Oc1ccccc1C(=O)N\N=C\c2oc(cc2)c3ccccc3[N+](=O)[O-]";"IC50";"'='";"50118723362727.2";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL664073";"Inhibition of cruzain, the major cysteine protease from Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135945";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL158567";"";"0";"595.77";"2";"5.58";"16c";"O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4cccnc4";"Ki";"'='";"5.5";"nM";"8.26";"";"";"UO_0000065";"13.86";"0.26";"2.68";"8.48";"False";"CHEMBL664070";"Inhibitory activity against cruzain, the major cysteine protease found in Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135707";"1";"Scientific Literature";"J. Med. Chem.";"2002";""
"CHEMBL416237";"";"0";"304.22";"0";"1.86";"117";"[O-][N+](=O)c1oc(\C=N\NC(=O)c2cccc(c2)[N+](=O)[O-])cc1";"IC50";"'='";"199526231496888";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL664073";"Inhibition of cruzain, the major cysteine protease from Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1135945";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
