SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,LABEL
O=C(N1C(=O)C(=O)c2ccccc12)c3ccccc3,12.318522297808013,-0.7962471655328789,12.318522297808013,0.27479733560090747,0.5754752878450274,251.241,242.16899999999993,251.058243148,92,0,0.3060227183847626,-0.2829741567346328,0.3060227183847626,0.2829741567346328,0.8421052631578947,1.4736842105263157,2.210526315789474,2.0944860284895794,691.5466916771854,13.405412915006313,9.868110889598182,9.868110889598182,9.198377302757663,5.771226700658317,5.771226700658317,4.158013932892178,4.158013932892178,3.0107421436273567,3.0107421436273567,2.098241941790754,2.098241941790754,-2.749999999999999,35788.4214540751,11.346641020829423,4.170292904637657,1.6526079240770033,108.82189248555626,0.0,0.0,0.0,0.0,11.690424675716445,5.907179729351506,14.383611552215466,4.899909730850478,0.0,0.0,30.33183534230805,24.26546827384644,5.563451491696996,11.250837766380558,14.383611552215466,23.284990679751512,0.0,0.0,0.0,0.0,4.899909730850478,65.72420659954848,0.0,0.0,4.899909730850478,5.687386274683562,0.0,0.0,17.59760440506795,4.794537184071822,0.0,20.715977351537635,54.59730361615449,0.0,0.0,0.0,54.45,17.59760440506795,14.383611552215466,0.0,5.563451491696996,11.250837766380558,4.899909730850478,0.0,54.59730361615449,0.0,0.0,0.0,0.0,0.0,36.987881550768456,0.0,1.0032289304610742,-1.9177461262282682,14.926635644998736,0.0,0.0,0.0,0.0,19,0,4,0,1,1,2,0,2,3,0,4,1,0,0,0,3,2.0563000000000002,69.03100000000002,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
Oc1ccc(\C=N\N=C\c2ccc3no[n+]([O-])c3c2)cc1,11.266369606146496,0.19777084412886148,11.266369606146496,0.19777084412886148,0.44805110638355056,282.259,272.17900000000003,282.07529017999997,104,0,0.24811458584011256,-0.5079662355246763,0.5079662355246763,0.24811458584011256,1.0476190476190477,1.7142857142857142,2.4761904761904763,1.7464623122044922,821.8563320034558,14.656489770562878,10.74871698113415,10.74871698113415,10.220346690612274,6.071692076197556,6.071692076197556,4.258869479321548,4.258869479321548,2.782865072277268,2.782865072277268,1.7296241116005389,1.7296241116005389,-3.2199999999999998,99029.4492865398,12.79567188517576,5.414289472824896,2.863255819911821,118.54964240601848,10.313780419617995,5.749511833283905,0.0,11.033401435232523,0.0,0.0,4.629038936893349,0.0,10.202815051479446,0.0,0.0,52.42819777224811,11.223030325587056,12.429201159070633,14.638658709818518,23.462602594303156,0.0,5.156663257125445,10.202815051479446,0.0,0.0,58.79872548740255,0.0,5.749511833283905,4.903092378084462,0.0,5.749511833283905,0.0,22.692391811036785,0.0,5.20725302477729,11.126902983393991,57.296423467604065,0.0,11.033401435232523,0.0,97.92,0.0,5.20725302477729,0.0,5.749511833283905,21.49994530501398,5.563451491696996,6.2146005795353165,48.67917005876659,0.0,19.98851724549824,5.106527394840706,4.479606697958034,0.0,0.3396680536485175,31.79892374700431,2.339075459973729,0.19777084412886148,11.603877784840087,3.074410745779793,0.0,0.0,0.0,21,1,7,0,0,0,2,1,3,6,1,7,3,0,0,0,3,1.6198,76.2638,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
[O-][N+](=O)c1ccc(\C=N\Nc2nccc(n2)C(F)(F)F)cc1,12.446545895854781,-4.568006476638626,12.446545895854781,0.07748064892725703,0.5321426560018789,311.223,303.159,311.063009156,114,0,0.4330395519717386,-0.25830963365036663,0.4330395519717386,0.25830963365036663,1.2272727272727273,1.9090909090909092,2.5,2.045713232440942,700.6530704763246,16.164925939000156,10.780696266282622,10.780696266282622,10.359191910946029,5.798577656997047,5.798577656997047,3.981891283541508,3.981891283541508,2.4280918460448544,2.4280918460448544,1.4170935566548768,1.4170935566548768,-3.039999999999999,70717.536726624,15.350761482885613,6.159719178291261,3.9766486002450754,121.22258013722887,0.0,5.693927994848461,0.0,5.948339280986494,5.687386274683562,6.176298517443475,10.114318268765572,15.393748439004803,18.27265266876418,0.0,0.0,23.762552697081826,18.329577708536295,11.137911628352988,18.09455619184213,17.850326135205375,0.0,9.967957041894417,5.101407525739723,6.176298517443475,5.425791397110385,57.900376669232145,0.0,0.0,5.425791397110385,24.80697069869452,0.0,0.0,21.105868670247403,6.176298517443475,10.114318268765572,11.257379486545457,41.63008643966085,0.0,0.0,0.0,93.31,16.793537561109606,23.28556341179003,0.0,11.635725555670057,5.563451491696996,12.263210640074686,30.480068853381756,0.0,0.0,20.495155964744523,0.0,37.33963768756434,0.0,16.787705838291192,14.14769002254267,1.6099885448963296,-0.31204937221802287,6.182631544677761,-2.338937599087606,0.0,0.0,0.08333333333333333,22,1,7,0,0,0,1,1,2,6,1,10,4,0,0,0,2,2.8496000000000006,71.34710000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
Cc1cc(nc(N\N=C\c2ccc(Cl)cc2)n1)C(F)(F)F,12.603850032499578,-4.523786299854347,12.603850032499578,0.1958499345304905,0.6901689143157912,314.69800000000004,304.618,314.05460866,110,0,0.4330499857423697,-0.24515807767034586,0.4330499857423697,0.24515807767034586,1.1904761904761905,1.8571428571428572,2.4761904761904763,2.126727157376185,653.4562154242827,15.457819157813608,10.817600293674538,11.573529239692993,9.842355158540421,5.819554433345868,6.1975189063550955,4.137485532295824,4.5739213127678084,2.3928260306666185,2.644802346006103,1.477158288165824,1.6031464458355666,-2.149999999999999,39610.18584735866,15.242870965490551,6.089005914173893,4.420566011696311,123.23781275600734,0.0,5.693927994848461,0.0,5.948339280986494,0.0,6.176298517443475,0.0,15.393748439004803,18.27265266876418,0.0,23.733674027155736,30.686289896772447,10.716561308589787,6.2146005795353165,13.171245143024459,23.763879750754327,0.0,9.967957041894417,5.101407525739723,13.100035717134098,5.425791397110385,52.30577613744329,0.0,0.0,5.425791397110385,19.119584424010952,0.0,11.600939890232516,16.182557621429734,6.176298517443475,6.923737199690624,16.95130748139392,35.43324286804777,5.022633313741326,0.0,0.0,50.17,11.870226512291936,13.171245143024459,0.0,11.642267275834955,5.022633313741326,11.629818560158606,13.13833777922594,24.26546827384644,0.0,20.495155964744523,11.600939890232516,37.81155009749873,5.732476888082936,7.203628537834887,4.375873751602468,2.288554279806761,-0.21524210198482696,7.646098409800611,-3.0979091897510465,1.4494137715539233,0.0,0.15384615384615385,21,1,4,0,0,0,1,1,2,4,1,8,3,0,0,0,2,3.903220000000001,74.43970000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
Nc1ccccc1c2oc(nn2)C(=O)Nc3cccc(c3)N4CCCC4,12.424024628369867,-0.4473847316704458,12.424024628369867,0.10201052952045009,0.7022720908188936,349.39400000000023,330.2420000000001,349.15387484800004,132,0,0.31271982780984225,-0.4120996182408815,0.4120996182408815,0.31271982780984225,1.0769230769230769,1.8846153846153846,2.6923076923076925,1.5050009896982572,930.9387323421693,17.93251065250177,14.182716914880427,14.182716914880427,12.70350993820667,8.553040969809764,8.553040969809764,6.198225083803487,6.198225083803487,4.385673865302712,4.385673865302712,3.0558545529360006,3.0558545529360006,-3.3499999999999996,1810547.2953796594,16.136497269815212,6.873058726309304,3.234496307992807,150.37765839532133,20.36751674907234,0.0,0.0,5.890723922025908,0.0,11.797903651377414,4.794537184071822,0.0,0.0,10.197363616602075,18.19910120538483,43.173478588160066,30.15167163587584,5.563451491696996,9.211688121125169,22.969338553402192,0.0,10.197363616602075,0.0,12.841643245852019,29.039878623844146,54.42166046971879,0.0,11.454175413722904,15.950365812018994,17.062158824050687,0.0,0.0,29.194056157778732,0.0,0.0,23.52690435194975,52.948087484746225,0.0,11.454175413722904,0.0,97.27999999999999,5.907179729351506,4.794537184071822,0.0,11.781447844051817,16.93822404106412,18.776899086508713,12.841643245852019,12.13273413692322,36.39820241076966,20.414061951458883,10.150818414215532,5.489886778785588,0.0,14.728229882874995,10.56816490833401,8.820151892566319,-0.3280365202912099,14.902392109072615,2.3967566992249947,2.089120916099354,0.0,0.21052631578947367,26,3,7,0,1,1,2,1,3,6,2,7,4,0,1,1,4,3.1713000000000013,99.98860000000003,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(OC(=O)c3cccnc3)c(C)c(C)c2O1,12.743710942617742,-0.370444309372137,12.743710942617742,0.1436608140706126,0.17836442015230689,535.8130000000003,482.38900000000035,535.402544556,216,0,0.34462120674538027,-0.4869789887219166,0.4869789887219166,0.34462120674538027,0.9487179487179487,1.5897435897435896,2.2051282051282053,1.5144222451447635,1077.2870580142117,28.578775022443736,25.991584944270954,25.991584944270954,18.503526853732655,15.442338142367914,15.442338142367914,13.053215891315505,13.053215891315505,8.930115568780133,8.930115568780133,6.048276209716403,6.048276209716403,-2.36,256935971.93061796,31.171422398827207,14.324256220403914,8.815409103959775,237.8495374575545,9.473725907600098,17.100074477551498,0.0,0.0,0.0,5.969305287951849,4.9839785209472085,4.794537184071822,0.0,0.0,72.64070015924457,99.95504204096493,17.957138634923147,5.563451491696996,14.268263091671919,5.969305287951849,0.0,4.9839785209472085,17.75371813848418,131.61998626069482,0.0,52.34367873863435,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,16.554334619882745,6.4208216229260096,38.52492973755605,131.43869687027004,24.526421280149375,0.0,0.0,0.0,48.42,0.0,4.794537184071822,0.0,11.570356098935537,11.3129633249809,59.4560493156371,56.930024475105085,24.526421280149375,6.923737199690624,53.450138918781576,9.473725907600098,12.647722482449392,0.0,16.789839965960546,0.0,4.557226148032719,3.7575579284721554,3.482548586521977,16.892516813392017,17.955921408504526,0.0,0.6571428571428571,39,0,4,0,1,1,1,1,2,4,0,4,14,0,0,0,3,9.748859999999999,161.92149999999964,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Inactive
CC(C)(C)OC(=O)NCc1oc(nn1)S(=O)(=O)Cc2ccc(Cl)cc2Cl,12.377918819195877,-3.9069752036617102,12.377918819195877,0.07255810657596351,0.7863679486146127,422.2900000000002,405.1540000000001,421.026597004,142,0,0.40759037459715014,-0.4438294424670532,0.4438294424670532,0.40759037459715014,1.2692307692307692,1.9615384615384615,2.576923076923077,2.0423104306202333,906.2459450147447,19.535169427003233,14.246110249743523,16.57446472270816,11.96014554224993,7.420625451321329,9.828819623659937,6.311970451906065,9.02301809842232,2.8578307404207037,4.832907944543026,1.8024788180376778,3.530047147706181,-1.839999999999999,365307.0496348478,20.471646164072986,7.810185251110846,5.856664560590305,160.30203126942044,14.470802494859726,5.601050810983688,0.0,15.727977058443411,0.0,11.315995976785103,0.0,13.212334168400758,0.0,5.098681808301038,34.36692865722768,38.46739722769209,10.045266627482652,12.297610012659364,22.366348059254154,39.13237298782095,0.0,15.514152220608405,0.0,43.892628328561614,0.0,39.69854324659038,0.0,0.0,5.316788604006331,4.794537184071822,0.0,23.20187978046503,30.309451482853117,26.871726102876917,0.0,32.225387012794776,27.839008048284864,10.045266627482652,0.0,0.0,111.38999999999999,32.50715353093308,13.212334168400758,0.0,17.45811364167981,10.586084805438322,0.0,18.19910120538483,20.771211599071872,0.0,15.514152220608405,32.35589367131843,34.9227309409361,11.778000098035182,11.574979766904248,9.566989937054851,-0.3117155175862436,-0.4990165134388618,4.475996194997299,-0.6869877634921966,4.974886949140225,-3.9069752036617102,0.4,26,1,8,0,0,0,1,1,2,7,1,11,5,0,0,0,2,3.3750000000000018,94.72350000000003,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Inactive
C[C@@H]1[C@@H]2C=C[C@@H]1[C@H]([C@@H]2C(=O)O)C3=C4C=CC(=O)C(=C4Oc5c(O)c(O)ccc35)O,12.188899623120852,-0.9227230830603836,12.188899623120852,0.055632558578987634,0.2983094203996604,394.3790000000001,376.2350000000002,394.1052529159999,148,0,0.3072491196109028,-0.5041604589479146,0.5041604589479146,0.3072491196109028,1.0,1.7241379310344827,2.4482758620689653,1.9281843299154187,1238.0549678001953,20.610001506150223,15.364452214477307,15.364452214477307,13.80743820803829,9.353658182019482,9.353658182019482,7.9032291985388285,7.9032291985388285,6.593653035368172,6.593653035368172,5.277234444113456,5.277234444113456,-3.48,5579330.136754507,17.607143161404515,5.761738136388627,2.1803854518277794,164.0371964606391,24.843260516416173,0.0,17.09277939380059,16.92781405846835,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,19.075777413358384,47.582637904027614,16.867581752323186,5.917906046161393,29.637797700487987,16.938549644058888,0.0,0.0,23.671624184645573,12.841643245852017,0.0,52.204287555183555,0.0,28.57223441042315,5.428790391900541,0.0,17.248535499851716,0.0,26.39541486731467,4.794537184071822,23.671624184645573,18.405094737549014,45.62919660863937,0.0,22.292943266678478,0.0,128.2,40.48244327202689,30.015183947506465,0.0,29.096985699000868,16.513127197858786,0.0,18.19910120538483,6.06636706846161,19.075777413358384,0.0,4.417150937053347,5.6468561035525315,0.0,24.16740785357353,41.03154097904594,0.2557117136978262,-3.839859956328212,5.597797146636433,3.9604965304022848,2.0133829627530027,0.0,0.2727272727272727,29,4,7,3,1,4,1,0,1,6,4,7,2,1,0,1,5,3.250900000000003,103.25120000000003,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
OC(=C\C=C/1\C2=C(Oc3c(O)c(O)ccc13)C(=O)C(=O)C=C2)O,11.98006172839506,-0.9602925275048284,11.98006172839506,0.19696334089191203,0.2694459929072205,314.249,304.16900000000004,314.04265266,116,0,0.2735782514798891,-0.5041604568081796,0.5041604568081796,0.2735782514798891,1.0869565217391304,1.826086956521739,2.5217391304347827,2.2910554819976223,864.6600997733157,16.723250160202095,11.477700868529178,11.477700868529178,10.896754605515326,6.4429745794965205,6.4429745794965205,4.786756780750448,4.786756780750448,3.3697488414972585,3.3697488414972585,2.318774989121256,2.318774989121256,-3.48,148791.58321151242,14.456968809165158,5.059425043147394,2.238247996236211,128.92427426604604,25.162972533162872,0.0,17.258188538223987,11.532756779648844,11.728470159608023,0.0,9.589074368143644,0.0,0.0,0.0,0.0,35.93389898749413,17.212576128600144,0.0,34.752046901306514,17.139594422799146,0.0,0.0,0.0,0.0,0.0,59.27776067092426,0.0,17.248535499851716,4.736862953800049,0.0,17.248535499851716,0.0,31.9925994720927,9.589074368143644,0.0,5.563451491696996,53.714309179227264,0.0,5.573104530069267,0.0,124.29,29.01073877254077,19.802129157825053,0.0,17.08178123500935,11.136556021766264,12.152040213667762,24.284774350590983,0.0,0.0,0.0,14.94991774348146,5.328688114134542,0.0,23.49186009280255,37.33029693667591,0.8771192365835232,-4.200321239606953,2.6487671642731168,4.69025636180398,0.0,0.0,0.0,23,4,7,1,1,2,1,0,1,7,4,7,1,0,0,0,3,1.7930999999999997,77.89720000000003,0,2,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
CC(C)(C)OC(=O)NCCc1oc(nn1)S(=O)(=O)Cc2ccc(Cl)cc2Cl,12.413160279658747,-3.8730798078401327,12.413160279658747,0.07577475434618308,0.7386563898795472,436.3170000000001,417.1650000000002,435.042247068,148,0,0.4071654076225397,-0.4438378941888671,0.4438378941888671,0.4071654076225397,1.2592592592592593,1.962962962962963,2.5925925925925926,1.9631483939932128,922.3772311397967,20.242276208189782,14.953217030930071,17.281571503894707,12.46014554224993,7.920625451321329,10.328819623659937,6.635193756609428,9.346241403125681,3.0820821391104283,5.057159343232748,1.955783285598265,3.6833516152667687,-1.839999999999999,589977.9148365976,21.459965397600275,8.450621957950462,6.674753590730531,166.66697338381707,14.470802494859726,5.601050810983688,0.0,15.727977058443411,0.0,11.315995976785103,0.0,13.212334168400758,0.0,5.098681808301038,34.36692865722768,38.46739722769209,23.01084465632124,5.752853606746789,22.366348059254154,39.13237298782095,0.0,15.514152220608405,0.0,43.76869354557505,6.544756405912575,39.69854324659038,0.0,0.0,5.316788604006331,4.794537184071822,0.0,23.20187978046503,36.854207888765686,26.74779131989035,0.0,32.225387012794776,27.839008048284864,10.045266627482652,0.0,0.0,111.38999999999999,32.50715353093308,13.212334168400758,0.0,23.878935264605822,10.586084805438322,0.0,12.13273413692322,26.83757866753348,0.0,15.514152220608405,32.35589367131843,35.10845646170377,11.80554958013606,11.554645208351156,9.898142730455431,-0.2443713807524337,-0.32621519991018544,4.51356056485833,-0.4343037592145489,5.386504491101453,-3.8730798078401327,0.4375,27,1,8,0,0,0,1,1,2,7,1,11,6,0,0,0,2,3.417500000000002,99.59050000000002,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Inactive
