id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,interval
0,C\C(=N/N=C(/N)\S)\c1ccc(Cl)c(Cl)c1,CHEMBL90512,7.3,IC50,B
1,Clc1cccc(NC(=S)N2CCC(=N2)c3cccc(Br)c3)c1,CHEMBL90475,6.0,IC50,B
2,N\C(=N\N=C\c1cccn1S(=O)(=O)c2ccccc2)\S,CHEMBL94235,5.55,IC50,A
3,CC\C(=N/N=C(/N)\S)\c1ccc(Cl)c(Cl)c1,CHEMBL92099,7.7,IC50,B
4,CC1CN(N=C1c2cccc(Cl)c2)C(=N)S,CHEMBL90428,6.64,IC50,B
5,FC(F)(F)c1cccc(c1)C2=NN(CC2)C(=N)S,CHEMBL91640,7.1,IC50,B
6,FC(F)(F)c1cc(\C=N\NC(=N)S)cc(c1)C(F)(F)F,CHEMBL90772,6.5,IC50,B
7,C\C(=N/N=C(/N)\S)\c1cc(cc(c1)C(F)(F)F)C(F)(F)F,CHEMBL89973,7.22,IC50,B
8,COc1ccccc1c2oc(\C=N\N=C(\N)/S)cc2,CHEMBL93774,6.55,IC50,B
9,N\C(=N\N=C\c1cccc(Br)c1)\S,CHEMBL91844,5.89,IC50,A
10,FC(F)(F)c1cccc(NC(=S)N2CCC(=N2)c3cccc(Cl)c3)c1,CHEMBL90354,5.77,IC50,A
11,C\C(=N/N=C(/N)\S)\c1ccccc1Br,CHEMBL90819,5.41,IC50,A
12,N\C(=N\N=C\c1oc(cc1)c2cccc(Cl)c2)\S,CHEMBL329128,6.85,IC50,B
13,C\C(=N/N=C(/N)\S)\c1ccc(Br)s1,CHEMBL89990,5.42,IC50,A
14,N\C(=N\N=C\c1oc(cc1)c2ccc(Br)cc2)\S,CHEMBL90060,6.55,IC50,B
15,C\C(=N/N=C(/N)\S)\c1cccc(Br)c1,CHEMBL88734,6.7,IC50,B
16,C\C(=N/N=C(/N)\S)\c1cccc(c1)C(F)(F)F,CHEMBL330050,6.77,IC50,B
17,NC(=S)N1CCC(=N1)c2cccc(Br)c2,CHEMBL314026,6.7,IC50,B
18,CC1CN(N=C1c2ccc(Cl)c(Cl)c2)C(=N)S,CHEMBL91544,7.16,IC50,B
19,N\C(=N\N=C\c1oc(cc1)c2ccc(Cl)cc2)\S,CHEMBL327577,6.52,IC50,B
20,Cn1c(\C=N\N=C(\N)/S)cc2ccccc12,CHEMBL90808,5.55,IC50,A
21,CC\C(=N/N=C(/N)\S)\c1cccc(c1)C(F)(F)F,CHEMBL92376,7.3,IC50,B
22,CC1CN(N=C1c2cccc(Br)c2)C(=N)S,CHEMBL406038,7.1,IC50,B
23,CCCCCC\N=C(/S)\N1CCC(=N1)c2cccc(Br)c2,CHEMBL91347,5.85,IC50,A
24,COc1ccc2ccccc2c1\C=N\N=C(\N)/S,CHEMBL90867,6.25,IC50,B
25,NC(=S)N1CCC(=N1)c2ccc(Cl)c(Cl)c2,CHEMBL329346,7.22,IC50,B
26,C\C(=N/N=C(/N)\S)\c1ccc(Cl)s1,CHEMBL90181,5.72,IC50,A
27,FC(F)(F)c1cccc(\C=N\NC(=N)S)c1,CHEMBL90688,6.32,IC50,B
28,CC\C(=N/N=C(\S)/Nc1ccc(cc1)C(F)(F)F)\c2cccc(Br)c2,CHEMBL420616,5.8,IC50,A
29,N\C(=N\N=C\c1cc(Cl)cc(Cl)c1)\S,CHEMBL421363,6.25,IC50,B
30,CC1CN(N=C1c2cccc(c2)C(F)(F)F)C(=N)S,CHEMBL91003,7.4,IC50,B
31,N\C(=N\N=C\c1ccc(Cl)c(Cl)c1)\S,CHEMBL415311,6.34,IC50,B
32,Cn1nc(cc1C(F)(F)F)c2ccc(\C=N\N=C(\N)/S)s2,CHEMBL91830,5.16,IC50,A
33,CC\C(=N/N=C(/N)\S)\c1cccc(Br)c1,CHEMBL313679,7.0,IC50,B
34,CC\C(=N/N=C(/N)\S)\c1cc(cc(c1)C(F)(F)F)C(F)(F)F,CHEMBL93166,7.7,IC50,B
35,NC(=S)N1CCC(=N1)c2cccc(Cl)c2,CHEMBL90197,6.57,IC50,B
36,CC\C(=N/N=C(/N)\S)\c1cccc(Cl)c1,CHEMBL90866,6.66,IC50,B
37,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)N\C=C\S(=O)(=O)c2ccccc2)C(=O)NC(=O)NN3CCOCC3,CHEMBL3142832,6.66,Ki,B
38,O=C(NN1CCOCC1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCc3ccccc3)N\C=C\S(=O)(=O)c4ccccc4,CHEMBL3142835,6.44,Ki,B
39,O=C(NN1CCOCC1)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCc4ccccc4)N\C=C\S(=O)(=O)c5ccc6ccccc6c5,CHEMBL3142836,7.32,Ki,B
40,CC(C)N1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL100017,6.42,Ki,B
41,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4ccccc4,CHEMBL103238,8.7,Ki,C
42,COCCN1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL100895,6.01,Ki,B
43,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCc3ccccc3)OCc4ccccc4,CHEMBL100849,8.38,Ki,C
44,O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(CCc3ccccc3)CC2=O)OCc4ccccc4,CHEMBL100702,7.27,Ki,B
45,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3,CHEMBL321974,8.96,Ki,C
46,O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(CCCc3ccccc3)CC2=O)OCc4ccccc4,CHEMBL316864,7.8,Ki,B
47,O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(CCCc3ccccc3)CC2=O)OCc4ccccc4,CHEMBL316864,7.79,Ki,B
48,O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(Cc3ccccc3)CC2=O)OCc4ccccc4,CHEMBL419727,6.7,Ki,B
49,O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(Cc3ccccc3)CC2=O)OCc4ccccc4,CHEMBL419727,6.7,Ki,B
50,O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(CCc3ccccc3)CC2=O)OCc4ccccc4,CHEMBL100702,7.28,Ki,B
51,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCc3ccccc3)OCc4ccccc4,CHEMBL321988,7.36,Ki,B
52,CC(C)CN1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL105708,6.56,Ki,B
53,CCCN1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL101306,6.44,Ki,B
54,CC(=O)NCCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL352896,7.46,Ki,B
55,CNC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL351721,7.82,Ki,B
56,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)N3CCOCC3,CHEMBL161148,7.23,Ki,B
57,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161817,8.54,Ki,C
58,CC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL162695,8.34,Ki,C
59,CC(C)(C)SCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3cccnc3,CHEMBL161038,8.85,Ki,C
60,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161651,8.6,Ki,C
61,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCc3ccccc3)OCc4ccccc4,CHEMBL321988,7.36,Ki,B
62,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3cccnc3,CHEMBL161259,7.64,Ki,B
63,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)N3CCOCC3,CHEMBL162250,7.26,Ki,B
64,COc1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1,CHEMBL263133,7.49,Ki,B
65,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3,CHEMBL162474,9.0,Ki,C
66,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL351045,8.32,Ki,C
67,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2,CHEMBL161739,8.1,Ki,C
68,O=C(CSCCCc1ccccc1)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)N4CCOCC4,CHEMBL350102,6.67,Ki,B
69,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL160000,8.89,Ki,C
70,CC(C)(C)c1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1,CHEMBL346190,7.66,Ki,B
71,CC(C)(C)CC(C)(CC(C)(C)C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161573,8.3,Ki,C
72,CCOC(=O)C(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL160273,7.43,Ki,B
73,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC3CCCCC3)OCc4ccccc4,CHEMBL161508,8.12,Ki,C
74,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL352168,8.7,Ki,C
75,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4cccnc4,CHEMBL158567,8.26,Ki,C
76,CC(C)C[C@H](NC(=O)OCc1ccncc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL436227,7.85,Ki,B
77,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4cccnc4,CHEMBL347459,9.05,Ki,C
78,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL161116,7.22,Ki,B
79,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3,CHEMBL159247,6.88,Ki,B
