	canonical_smiles	molecule_chembl_id	pchembl_value	standard_type	interval
2	CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)N\C=C\S(=O)(=O)c2ccccc2)C(=O)NC(=O)NN3CCOCC3	CHEMBL3142832	6.14	Ki	B
3	O=C(NN1CCOCC1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCc3ccccc3)N\C=C\S(=O)(=O)c4ccccc4	CHEMBL3142835	6.0	Ki	B
4	O=C(NN1CCOCC1)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCc4ccccc4)N\C=C\S(=O)(=O)c5ccc6ccccc6c5	CHEMBL3142836	7.75	Ki	B
5	CC(C)N1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL100017	6.22	Ki	B
6	COCCN1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL100895	6.06	Ki	B
7	CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CSCCCc3ccccc3	CHEMBL321974	6.84	Ki	B
8	O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(CCCc3ccccc3)CC2=O)OCc4ccccc4	CHEMBL316864	7.72	Ki	B
9	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC2CN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3	CHEMBL100563	7.41	Ki	B
10	O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(Cc3ccccc3)CC2=O)OCc4ccccc4	CHEMBL419727	6.42	Ki	B
11	O=C(N[C@@H](Cc1ccccc1)C(=O)NC2CC(=O)N(CCc3ccccc3)CC2=O)OCc4ccccc4	CHEMBL100702	7.03	Ki	B
12	CC(C)CN1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL105708	6.52	Ki	B
13	CCCN1CC(=O)C(CC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3	CHEMBL101306	6.63	Ki	B
